timestamp,usia,status_income,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_w1,income_w2,income_w3,income_w4,peak_week,app_helpful_score,respondent_id,timestamp_parsed,survey_date,gig_type,domisili_code,src_gojek,src_grab,src_shopeefood,src_maxim,src_marketplace,src_sosmed,src_wa_langsung,src_freelance_web,ramai_awal_bulan,ramai_akhir_bulan,ramai_weekend,ramai_ramadan,ramai_natal,ramai_harbolnas,ramai_promo_app,ramai_cuaca_bagus,fluk_jumlah_pesanan,fluk_jam_kerja,fluk_cuaca,fluk_weekend,fluk_ramadan,fluk_gajian,fluk_promo_app,fluk_rating,fluk_kondisi_fisik,fitur_perkiraan,fitur_pengingat_turun,fitur_saran_pengeluaran,fitur_saran_nabung,fitur_ringkasan,fitur_tips_uang,total_jam_seminggu,experience_months_log,avg_weekly_income,monthly_income,income_std_4w,income_cv_4w,income_range_4w,pref_payday,pref_awal_bulan,pref_weekend,pref_ramadan_lebaran,pref_natal_tahun_baru,pref_harbolnas,pref_promo_aplikasi,income_w1_period_end,income_w1_period_start,income_w1_month,income_w1_year,income_w1_week_of_month,income_w1_iso_week,income_w2_period_end,income_w2_period_start,income_w2_month,income_w2_year,income_w2_week_of_month,income_w2_iso_week,income_w3_period_end,income_w3_period_start,income_w3_month,income_w3_year,income_w3_week_of_month,income_w3_iso_week,income_w4_period_end,income_w4_period_start,income_w4_month,income_w4_year,income_w4_week_of_month,income_w4_iso_week
05/16/2026 12:14:43,21,0,4,2,4,260000,0,180000,200000,1,4,R0000,2026-05-16 12:14:43,2026-05-16,freelance_it,jateng_yogya,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1.6094379124341005,213333.3333333333,640000,41633.319989322656,0.1951561874499499,260000,1,1,1,0,0,0,0,2026-05-15 12:14:43,2026-05-09 12:14:43,5,2026,3,20,2026-05-08 12:14:43,2026-05-02 12:14:43,5,2026,2,19,2026-05-01 12:14:43,2026-04-25 12:14:43,5,2026,1,18,2026-04-24 12:14:43,2026-04-18 12:14:43,4,2026,4,17
05/16/2026 22:20:53,31,1,5,5,4,235000,180000,210000,0,0,2,R0001,2026-05-16 22:20:53,2026-05-16,freelance_desain,jabodetabek,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,20,1.791759469228055,208333.3333333333,625000,27537.852736430512,0.1321816931348664,235000,1,1,0,0,0,0,0,2026-05-15 22:20:53,2026-05-09 22:20:53,5,2026,3,20,2026-05-08 22:20:53,2026-05-02 22:20:53,5,2026,2,19,2026-05-01 22:20:53,2026-04-25 22:20:53,5,2026,1,18,2026-04-24 22:20:53,2026-04-18 22:20:53,4,2026,4,17
05/16/2026 19:49:49,25,0,4,1,1,260000,0,215000,330000,3,3,R0002,2026-05-16 19:49:49,2026-05-16,freelance_it,bandung,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1.6094379124341005,268333.3333333333,805000,57951.12883571236,0.2159669397604187,330000,1,1,0,0,1,0,0,2026-05-15 19:49:49,2026-05-09 19:49:49,5,2026,3,20,2026-05-08 19:49:49,2026-05-02 19:49:49,5,2026,2,19,2026-05-01 19:49:49,2026-04-25 19:49:49,5,2026,1,18,2026-04-24 19:49:49,2026-04-18 19:49:49,4,2026,4,17
05/16/2026 16:03:14,20,0,12,3,2,135000,140000,145000,170000,1,5,R0003,2026-05-16 16:03:14,2026-05-16,freelance_desain,jabar_lainnya,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,6,2.5649493574615367,147500.0,590000,15545.631755148024,0.1053941135942238,35000,1,1,0,0,0,0,0,2026-05-15 16:03:14,2026-05-09 16:03:14,5,2026,3,20,2026-05-08 16:03:14,2026-05-02 16:03:14,5,2026,2,19,2026-05-01 16:03:14,2026-04-25 16:03:14,5,2026,1,18,2026-04-24 16:03:14,2026-04-18 16:03:14,4,2026,4,17
05/16/2026 09:52:02,21,1,60,5,3,355000,280000,320000,375000,1,5,R0004,2026-05-16 09:52:02,2026-05-16,content_creator,jabodetabek,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,15,4.110873864173311,332500.0,1330000,41733.280085163045,0.1255136243162798,95000,0,0,1,0,0,0,0,2026-05-15 09:52:02,2026-05-09 09:52:02,5,2026,3,20,2026-05-08 09:52:02,2026-05-02 09:52:02,5,2026,2,19,2026-05-01 09:52:02,2026-04-25 09:52:02,5,2026,1,18,2026-04-24 09:52:02,2026-04-18 09:52:02,4,2026,4,17
05/16/2026 09:51:20,28,2,4,4,9,150000,130000,110000,135000,3,4,R0005,2026-05-16 09:51:20,2026-05-16,content_creator,jabodetabek,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,36,1.6094379124341005,131250.0,525000,16520.189667999173,0.1258681117561841,40000,1,0,0,0,0,0,1,2026-05-15 09:51:20,2026-05-09 09:51:20,5,2026,3,20,2026-05-08 09:51:20,2026-05-02 09:51:20,5,2026,2,19,2026-05-01 09:51:20,2026-04-25 09:51:20,5,2026,1,18,2026-04-24 09:51:20,2026-04-18 09:51:20,4,2026,4,17
05/16/2026 08:25:17,25,1,5,3,4,375000,350000,0,295000,0,5,R0006,2026-05-16 08:25:17,2026-05-16,pekerja_harian,jabodetabek,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,12,1.791759469228055,340000.0,1020000,40926.76385936225,0.1203728348804772,375000,0,0,0,0,1,0,0,2026-05-15 08:25:17,2026-05-09 08:25:17,5,2026,3,20,2026-05-08 08:25:17,2026-05-02 08:25:17,5,2026,2,19,2026-05-01 08:25:17,2026-04-25 08:25:17,5,2026,1,18,2026-04-24 08:25:17,2026-04-18 08:25:17,4,2026,4,17
05/16/2026 21:04:13,44,2,30,6,7,650000,510000,755000,665000,0,4,R0007,2026-05-16 21:04:13,2026-05-16,pekerja_harian,bandung,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,42,3.4339872044851463,645000.0,2580000,101242.28365658292,0.1569647808629193,245000,1,0,0,0,0,0,1,2026-05-15 21:04:13,2026-05-09 21:04:13,5,2026,3,20,2026-05-08 21:04:13,2026-05-02 21:04:13,5,2026,2,19,2026-05-01 21:04:13,2026-04-25 21:04:13,5,2026,1,18,2026-04-24 21:04:13,2026-04-18 21:04:13,4,2026,4,17
5/16/2026 08:30:10,37,1,2,4,4,275000,270000,225000,290000,4,3,R0008,2026-05-16 08:30:10,2026-05-16,freelance_it,jabodetabek,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,16,1.0986122886681096,265000.0,1060000,27988.092706244443,0.1056154441745073,65000,1,0,1,0,0,0,0,2026-05-15 08:30:10,2026-05-09 08:30:10,5,2026,3,20,2026-05-08 08:30:10,2026-05-02 08:30:10,5,2026,2,19,2026-05-01 08:30:10,2026-04-25 08:30:10,5,2026,1,18,2026-04-24 08:30:10,2026-04-18 08:30:10,4,2026,4,17
5/16/2026 09:54:55,18,1,24,3,3,210000,305000,315000,280000,1,5,R0009,2026-05-16 09:54:55,2026-05-16,freelance_desain,sumatera,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,9,3.218875824868201,277500.0,1110000,47346.2423711393,0.1706170896257272,105000,0,0,1,0,0,0,0,2026-05-15 09:54:55,2026-05-09 09:54:55,5,2026,3,20,2026-05-08 09:54:55,2026-05-02 09:54:55,5,2026,2,19,2026-05-01 09:54:55,2026-04-25 09:54:55,5,2026,1,18,2026-04-24 09:54:55,2026-04-18 09:54:55,4,2026,4,17
