usia,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_utama,income_w1,income_w2,income_w3,income_w4,rolling_mean_4w,rolling_std_4w,rolling_cov_4w,income_trend_w4w1,income_growth_pct,is_payday_week,monthly_income,prev_monthly_income,total_jam_seminggu,income_per_jam_est,income_ratio_w4w1,income_w3_vs_w4,is_income_growing,experience_months_log,seasonal_enc,gig_type_content_creator,gig_type_freelancer_desain,gig_type_freelancer_it,gig_type_jualan_online,gig_type_kurir,gig_type_ojek_online,gig_type_pekerja_harian,gig_type_tutor,region_bali,region_bandung,region_jabodetabek,region_jawa_tengah,region_jawa_timur,region_kalimantan,region_papua,region_sulawesi,region_sumatera,experience_tier_junior,experience_tier_mid,experience_tier_senior
33,21,3,8,2,1666950.0,987722.0,1170090.0,1470590.0,1323838.0,262618.73838703893,0.19837679412967366,-196360.0,-11.779597468430367,1,5295352.0,5295352.0,24,58823.6,0.8822034960835682,0.7956597041597562,0,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,1121611.0,1420591.0,941234.0,1423032.0,1226617.0,205349.99490260525,0.16741166550162379,301421.0,26.873934010989547,1,4906468.0,5295352.0,24,56921.28,1.2687382089349972,0.6614280905643087,1,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,1475118.0,486119.0,1188928.0,472693.0,905714.5,438177.5426345467,0.4837921250400062,-1002425.0,-67.95558050271232,1,3622858.0,4906468.0,24,18907.72,0.32044397774010097,2.5152170325834473,0,3.091042453358316,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,436503.0,895516.0,1207046.0,862527.0,850398.0,274175.86212775914,0.3224088745831471,426024.0,97.5993292142322,1,3401592.0,3622858.0,24,34501.08,1.9759887652805015,1.3994281924760703,1,3.091042453358316,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,713871.0,1416887.0,709211.0,1638018.0,1119496.75,415382.923701959,0.3710443319303598,924147.0,129.45574200380742,1,4477987.0,3401592.0,24,65520.72,2.294554205795997,0.43296872624798616,1,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,1355306.0,890321.0,906192.0,882904.0,1008680.75,200300.91679442584,0.19857711847323928,-472402.0,-34.855744754321165,1,4034723.0,4477987.0,24,35316.16,0.6514420717962793,1.0263754311052717,0,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,1402938.0,1737697.0,832692.0,1046690.0,1255004.25,345188.0460505368,0.2750493044549744,-356248.0,-25.392996696931725,1,5020017.0,4034723.0,24,41867.6,0.7460695012398971,0.7955471098920311,0,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,842206.0,1670845.0,927276.0,2171467.0,1402948.5,548426.3164083668,0.39090979918961155,1329261.0,157.83086323298576,1,5611794.0,5020017.0,24,86858.68,2.5783055709582086,0.42702724608421583,1,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,1550054.0,955598.0,906090.0,949876.0,1090404.5,266068.8583407498,0.24400931795563005,-600178.0,-38.71981234202163,1,4361618.0,5611794.0,24,37995.04,0.6128014812377626,0.953902452633341,0,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,701155.0,1024364.0,775531.0,554705.0,763938.75,170056.05877235747,0.222604310584268,-146450.0,-20.886965079048142,1,3055755.0,4361618.0,24,22188.2,0.79112922088665,1.3980937649854157,0,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,745739.0,553127.0,690688.0,851070.0,710156.0,107424.40964464268,0.15126874890114664,105331.0,14.124378636493464,1,2840624.0,3055755.0,24,34042.8,1.1412422560141604,0.8115515626780845,1,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,786059.0,2115290.0,1707054.0,1762866.0,1592817.25,491376.4495940841,0.3084951833577167,976807.0,124.26637186267189,1,6371269.0,2840624.0,24,70514.64,2.24266086558278,0.968339642185145,1,3.091042453358316,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,21,3,8,2,781108.0,708960.0,980740.0,834579.0,826346.75,99663.48273408621,0.12060733915161669,53471.0,6.845532243940659,1,3305387.0,6371269.0,24,33383.16,1.0684539545697207,1.1751300055117544,1,3.091042453358316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
22,7,3,11,2,1074944.0,610069.0,634768.0,657275.0,744264.0,191646.82397707508,0.25749844675689687,-417669.0,-38.85495430459633,1,2977056.0,2977056.0,33,19331.617647058825,0.6114498881338115,0.9657556338585312,0,2.0794415416798357,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,7,3,11,2,721038.0,610707.0,606322.0,700473.0,659635.0,51658.241854519205,0.07831337308438638,-20565.0,-2.852138167475223,1,2638540.0,2977056.0,33,20602.147058823528,0.9714772709936633,0.8655881588752758,0,2.0794415416798357,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,7,3,11,2,540340.0,748782.0,801068.0,832573.0,730690.75,113900.8906185,0.15588111744742902,292233.0,54.083169856016575,1,2922763.0,2638540.0,33,24487.441176470587,1.5408288469688585,0.9621583186599629,1,2.0794415416798357,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,7,3,11,2,474505.0,659940.0,784753.0,791050.0,677562.0,128366.77603453318,0.18945391865915323,316545.0,66.7105720698412,1,2710248.0,2922763.0,33,23266.176470588234,1.6671022073482737,0.9920384399994437,1,2.0794415416798357,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,7,3,11,2,768844.0,1332554.0,642900.0,1022230.0,941632.0,263824.0646984274,0.2801774628500597,253386.0,32.95675065422895,1,3766528.0,2710248.0,33,30065.58823529412,1.3295657772372844,0.6289185125475553,1,2.0794415416798357,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,7,3,11,2,453941.0,653376.0,1191013.0,1232499.0,882707.25,336838.24872509285,0.381596785032742,778558.0,171.51083510852732,1,3530829.0,3766528.0,33,36249.970588235294,2.7151023699062877,0.9663391480730223,1,2.0794415416798357,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
