provinsi,industri_idr,jasa_idr,tahun
Aceh,1774351.0,1843392.0,2023
Sumatera Utara,1811550.0,2023545.0,2023
Sumatera Barat,1895524.0,2046832.0,2023
Riau,2256631.0,2269175.0,2023
Jambi,2274547.0,2464270.0,2023
Sumatera Selatan,2185740.0,1983218.0,2023
Bengkulu,1934919.0,1849981.0,2023
Lampung,1900584.0,1735226.0,2023
Kepulauan Bangka Belitung,2509016.0,2396743.0,2023
Kepulauan Riau,2817510.0,3193501.0,2023
Dki Jakarta,2799385.0,3666943.0,2023
Jawa Barat,2220234.0,2256461.0,2023
Jawa Tengah,1790181.0,1738690.0,2023
Di Yogyakarta,1571732.0,1652188.0,2023
Jawa Timur,1834985.0,1862536.0,2023
Banten,2657281.0,2795954.0,2023
Bali,1775074.0,2802862.0,2023
Nusa Tenggara Barat,1511138.0,1832940.0,2023
Nusa Tenggara Timur,1016926.0,1421283.0,2023
Kalimantan Barat,2336508.0,2248580.0,2023
Kalimantan Tengah,2993259.0,2570266.0,2023
Kalimantan Selatan,1959459.0,1982566.0,2023
Kalimantan Timur,2834606.0,2908023.0,2023
Kalimantan Utara,2483550.0,2296715.0,2023
Sulawesi Utara,2214514.0,2223586.0,2023
Sulawesi Tengah,1800738.0,1937677.0,2023
Sulawesi Selatan,2033793.0,2085741.0,2023
Sulawesi Tenggara,1797531.0,1951264.0,2023
Gorontalo,1467520.0,1668708.0,2023
Sulawesi Barat,1518142.0,1511611.0,2023
Maluku,1924238.0,1781077.0,2023
Maluku Utara,1856831.0,2303488.0,2023
Papua Barat,3184024.0,3073981.0,2023
Papua,3047359.0,3079201.0,2023
