feature,importance
rolling_cv_4w,0.1221660363916463
income_volatility,0.10626257076771099
rolling_last_vs_median_pct,0.07392727767708494
lag_ratio_1_to_mean,0.0698123651759115
trend_slope_4w,0.05353582558675371
income_growth_1w,0.05073078475462548
last_income_change_pct,0.04826995006460981
rolling_min_4w,0.047968440063165245
income_trend_4w_pct,0.04658815107606995
is_previous_week_stable,0.036557397020180196
income_trend_4w_abs,0.03231662154772916
rolling_std_4w,0.029088117494131253
rolling_range_4w,0.025740463826612624
last_income_change_abs,0.024899897321989804
rolling_std_8w,0.021101538504087594
lag_1_income,0.020543126746927
rolling_mean_2w,0.01536563587805316
lag_3_income,0.015354976395006869
lag_4_income,0.014010491174786947
lag_2_income,0.013082349286421258
rolling_mean_8w,0.012327091028890043
is_previous_week_up,0.010903433625818153
rolling_mean_4w,0.010201395750231176
rolling_median_4w,0.00959764192456886
rolling_max_4w,0.008825853684860422
total_jam_seminggu,0.006409444648240654
is_previous_week_down,0.006202814549709766
usia,0.005879289338760689
gig_tutor,0.005434084035672044
gig_content_creator,0.0050808346759115735
experience_months_log,0.0050001659781586496
target_month,0.00479310831073744
jam_kerja_per_hari,0.004637408932656049
target_is_payday_period,0.0036521987111642245
hari_kerja_per_minggu,0.00336260667334535
target_week_of_month,0.00333664424797894
bps_jasa_weekly,0.0029654165528925046
gig_freelance_desain,0.002795470916986472
gig_freelance_it,0.0025555623591454316
target_quarter,0.002121056458941272
gig_pekerja_harian,0.0019787023578283366
gig_kurir,0.001796248896761279
pref_payday,0.0017332822801919045
target_is_month_end,0.0015602979307265692
gig_jualan_online,0.0013813721516994606
target_is_month_start,0.0011968451560229597
pref_awal_bulan,0.0010884324588584578
pref_weekend,0.0010006602823042718
pref_harbolnas,0.0009590638595642743
pref_promo_aplikasi,0.0009135254098691572
pref_ramadan_lebaran,0.0008174793982982001
pref_natal_tahun_baru,0.0007727043772916213
target_is_ramadan_lebaran,0.0007435178220685406
gig_ojek_online,0.00037076053112185725
target_is_christmas_year_end,0.00028356792921966864
target_is_harbolnas,0.0
target_is_weekend,0.0
target_is_new_year,0.0
